URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/audit-entity-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.458",AuditEventEntityType,Audit event entity type,"Code for the entity type involved in the audit event.","StructureDefinition/IHE.NPFS.SearchFile.Audit.Manager,StructureDefinition/IHE.NPFS.SubmitFile.Audit.Source,StructureDefinition/IHE.NPFS.RetrieveFile.Audit.Consumer,StructureDefinition/IHE.NPFS.RetrieveFile.Audit.Manager,StructureDefinition/IHE.NPFS.SubmitFile.Audit.Manager,StructureDefinition/IHE.NPFS.SearchFile.Audit.Consumer,StructureDefinition/IHE.NPFS.UpdateDocumentReference.Audit.Source,StructureDefinition/IHE.NPFS.UpdateDocumentReference.Audit.Manager","THO,hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/audit-event-action,4.0.1,draft,"2.16.840.1.113883.4.642.3.452",AuditEventAction,AuditEventAction,"Indicator for type of action performed during the event that generated the event.","StructureDefinition/IHE.NPFS.SearchFile.Audit.Manager,StructureDefinition/IHE.NPFS.SubmitFile.Audit.Source,StructureDefinition/IHE.NPFS.RetrieveFile.Audit.Consumer,StructureDefinition/IHE.NPFS.RetrieveFile.Audit.Manager,StructureDefinition/IHE.NPFS.SubmitFile.Audit.Manager,StructureDefinition/IHE.NPFS.SearchFile.Audit.Consumer,StructureDefinition/IHE.NPFS.UpdateDocumentReference.Audit.Source,StructureDefinition/IHE.NPFS.UpdateDocumentReference.Audit.Manager","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/audit-event-outcome,4.0.1,draft,"2.16.840.1.113883.4.642.3.454",AuditEventOutcome,AuditEventOutcome,"Indicates whether the event succeeded or failed.","StructureDefinition/IHE.NPFS.SearchFile.Audit.Manager,StructureDefinition/IHE.NPFS.SubmitFile.Audit.Source,StructureDefinition/IHE.NPFS.RetrieveFile.Audit.Consumer,StructureDefinition/IHE.NPFS.RetrieveFile.Audit.Manager,StructureDefinition/IHE.NPFS.SubmitFile.Audit.Manager,StructureDefinition/IHE.NPFS.SearchFile.Audit.Consumer,StructureDefinition/IHE.NPFS.UpdateDocumentReference.Audit.Source,StructureDefinition/IHE.NPFS.UpdateDocumentReference.Audit.Manager","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/audit-event-sub-type,4.0.1,active,"2.16.840.1.113883.4.642.3.464",AuditEventSub-Type,Audit Event Sub-Type,"More detailed code concerning the type of the audit event - defined by DICOM with some FHIR specific additions.","StructureDefinition/IHE.NPFS.SearchFile.Audit.Manager,StructureDefinition/IHE.NPFS.SubmitFile.Audit.Source,StructureDefinition/IHE.NPFS.RetrieveFile.Audit.Consumer,StructureDefinition/IHE.NPFS.RetrieveFile.Audit.Manager,StructureDefinition/IHE.NPFS.SubmitFile.Audit.Manager,StructureDefinition/IHE.NPFS.SearchFile.Audit.Consumer,StructureDefinition/IHE.NPFS.UpdateDocumentReference.Audit.Source,StructureDefinition/IHE.NPFS.UpdateDocumentReference.Audit.Manager","DICOM,hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/audit-event-type,4.0.1,active,"2.16.840.1.113883.4.642.3.462",AuditEventID,Audit Event ID,"Event Types for Audit Events - defined by DICOM with some FHIR specific additions.","StructureDefinition/IHE.NPFS.SearchFile.Audit.Manager,StructureDefinition/IHE.NPFS.SubmitFile.Audit.Source,StructureDefinition/IHE.NPFS.RetrieveFile.Audit.Consumer,StructureDefinition/IHE.NPFS.RetrieveFile.Audit.Manager,StructureDefinition/IHE.NPFS.SubmitFile.Audit.Manager,StructureDefinition/IHE.NPFS.SearchFile.Audit.Consumer,StructureDefinition/IHE.NPFS.UpdateDocumentReference.Audit.Source,StructureDefinition/IHE.NPFS.UpdateDocumentReference.Audit.Manager","THO,DICOM"
http://hl7.org/fhir/ValueSet/audit-source-type,4.0.1,active,"2.16.840.1.113883.4.642.3.466",AuditEventSourceType,Audit Event Source Type,"The type of process where the audit event originated from.","StructureDefinition/IHE.NPFS.SearchFile.Audit.Manager,StructureDefinition/IHE.NPFS.SubmitFile.Audit.Source,StructureDefinition/IHE.NPFS.RetrieveFile.Audit.Consumer,StructureDefinition/IHE.NPFS.RetrieveFile.Audit.Manager,StructureDefinition/IHE.NPFS.SubmitFile.Audit.Manager,StructureDefinition/IHE.NPFS.SearchFile.Audit.Consumer,StructureDefinition/IHE.NPFS.UpdateDocumentReference.Audit.Source,StructureDefinition/IHE.NPFS.UpdateDocumentReference.Audit.Manager","THO"
http://hl7.org/fhir/ValueSet/bundle-type,4.0.1,active,"2.16.840.1.113883.4.642.3.620",BundleType,BundleType,"Indicates the purpose of a bundle - how it is intended to be used.","StructureDefinition/IHE.NPFS.ReplaceDocumentBundle,StructureDefinition/IHE.NPFS.UpdateDocumentBundle,StructureDefinition/IHE.NPFS.CreateDocumentBundle","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/c80-doc-typecodes,4.0.1,active,"2.16.840.1.113883.3.88.12.80.47",DocumentTypeValueSet,Document Type Value Set,"This is the code specifying the precise type of document (e.g. Pulmonary History and  Physical, Discharge Summary, Ultrasound Report, etc.). The Document Type value set includes all LOINC  values listed in HITSP C80 Table 2-144 Document Class Value Set Definition above used for Document Class,  and all LOINC values whose SCALE is DOC in the LOINC database.","StructureDefinition/IHE.NPFS.DocumentReference","LOINC"
http://hl7.org/fhir/ValueSet/c80-facilitycodes,4.0.1,active,"2.16.840.1.113883.3.88.12.80.67",FacilityTypeCodeValueSet,Facility Type Code Value Set,"This is the code representing the type of organizational setting where the clinical encounter, service, interaction, or treatment occurred. The value set used for Healthcare Facility Type has been defined by HITSP to be the value set reproduced from HITSP C80 Table 2-147.","StructureDefinition/IHE.NPFS.DocumentReference","SCT"
http://hl7.org/fhir/ValueSet/c80-practice-codes,4.0.1,active,"2.16.840.1.113883.3.88.12.80.72",PracticeSettingCodeValueSet,Practice Setting Code Value Set,"This is the code representing the clinical specialty of the clinician or provider who interacted with, treated, or provided a service to/for the patient. The value set used for clinical specialty has been limited by HITSP to the value set reproduced from HITSP C80 Table 2-149 Clinical Specialty Value Set Definition.","StructureDefinition/IHE.NPFS.DocumentReference","SCT"
http://hl7.org/fhir/ValueSet/composition-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.241",CompositionStatus,CompositionStatus,"The workflow/clinical status of the composition.","StructureDefinition/IHE.NPFS.DocumentReference","hl7.fhir.r4.core"
